Answer,Question
Make dermatologist appointment for July,What appointment should I book for July?
Watched Past Lives - so quiet and emotional,What did I think of Past Lives?
Chapter 3 covers demand and supply,What is in Chapter 3 of my economics book?
Try writing every day before bed,What habit am I building at night?
Leave house by 6:45am for airport,What time do I need to leave for the airport?
Deposit work bonus into Roth IRA,What should I do with my work bonus?
Add Tomorrow and Tomorrow and Tomorrow to reading list,What book do I want to read soon?
Yoga class at 5pm Thursdays,When is my weekly yoga class?
Dreamt I was underwater in a glowing cave,What was my underwater dream about?
Finish slide deck for the pitch on Monday,What do I need to finish for the pitch?
Add voice memo feature to app ideas list,What app feature did I think of?
Psych exam next Wednesday,When is my psychology exam?
Check-in meeting at 11am Friday,When is my project check-in?
Biked 10 miles around the lake today,How far did I bike recently?
Start planning Japan trip for 2026,What future trip should I start planning?
Spend under $100 on clothes this month,What is my clothing budget?
Email dentist about teeth whitening options,What dental question do I need to ask?
Watched Dune again - visuals still stunning,What did I think about rewatching Dune?
Chapter 9 is about thermodynamics,What is in Chapter 9 of physics?
Morning goal: no phone until breakfast,What is my morning phone habit goal?
Get to train station by 7:20am,When should I get to the train station?
Bring gift and card to baby shower,What should I bring to the baby shower?
Add $25 to emergency fund weekly,What is my weekly savings goal?
Add Lessons in Chemistry to book club list,What book am I suggesting for book club?
Lunch with Dana at noon on Saturday,When am I having lunch with Dana?
Dreamed I was running in slow motion,What strange dream did I have about running?
Finalize logo for new website,What part of the site am I working on?
Quote: You miss 100% of the shots you don't take - Wayne Gretzky,What quote did I save about taking risks?
English quiz on symbolism Friday,When is my English quiz?
One-on-one with boss moved to Wednesday,When is my next one-on-one?
Swam 20 laps in 35 minutes today,What was my swim workout today?
Research Canada as a potential move,What country am I considering moving to?
Cap eating out at 3 times a week,What is my limit for eating out?
Make appointment to renew passport,What government task do I need to do?
Watched The Rehearsal - really weird but cool,What did I think of The Rehearsal?
Chapter 12 discusses global trade,What is Chapter 12 about in econ?
Try waking up at 6:30am this week,What time am I trying to wake up this week?
Arrive at gym by 6:45am,What time should I get to the gym?
Pack lunch and water bottle for work,What should I bring to work?
Set aside $40 for books this month,What is my book budget?
Add Cloud Cuckoo Land to my to-read list,What book did I want to read next?
Dinner with coworkers on Wednesday at 6:30,When is dinner with my coworkers?
Dreamt I was on stage forgetting my lines,What dream did I have about performing?
Outline goals for semester project,What goals am I setting for my semester project?
Quote: Done is better than perfect,What quote did I write about perfectionism?
Bio lab practical next Tuesday,When is the bio lab practical?
Weekly sync is Thursdays at 3pm,When is our weekly sync?
Cycled 15 miles in under an hour,What is my cycling record?
Look into Portugal for vacation ideas,What vacation destination am I researching?
No more than $150 on takeout this month,What is my takeout budget?
Book vet check-up for next month,What is the next vet appointment I need?
Watched Succession finale - intense ending,What did I think of the Succession finale?
Chapter 15 talks about economic inequality,What is in Chapter 15 of the textbook?
Night routine: no screens after 9:30pm,What is my new night routine rule?
Be at bus stop by 8:05am,What time should I be at the bus stop?
Pack sandals and sunscreen for trip,What should I pack for my trip?
Transfer $60 to car repair fund,What money should I move to my car fund?
Add Sea of Tranquility to my booklist,What is the next book I want to read?
Coffee with Mira on Sunday at 11am,When am I meeting Mira?
Dreamed about a massive wave hitting the shore,What dream did I have about the ocean?
Redesign homepage for better readability,What website update am I working on?
Quote: People don't care how much you know until they know how much you care,What quote stuck with me about empathy?
